Ticker,Name,Sector,Industry,Country
SCHP.SW,Schindler Ps,Industrials,Specialty Industrial Machinery,Switzerland
KNIN.SW,Kuehne & Nagel,Industrials,Integrated Freight & Logistics,Switzerland
NEL.OL,Nel ASA,Industrials,Specialty Industrial Machinery,Norway
VALMT.HE,Valmet,Industrials,Specialty Industrial Machinery,Finland
GF.SW,Georg Fischer,Industrials,Specialty Industrial Machinery,Switzerland
SOON.SW,Sonova H Ag,Healthcare,Medical Devices,Switzerland
AIBRF,AIB,Financial Services,Banks - Regional,Ireland
FBK.MI,FinecoBank,Financial Services,Banks - Regional,Italy
ZAL.DE,Zalando SE,Consumer Cyclical,Internet Retail,Germany
SSPG.L,SSP Group,Consumer Cyclical,Restaurants,United Kingdom
BBOX.L,Tritax Big Box,N/A,N/A,N/A
SPIE.PA,Spie,Industrials,Engineering & Construction,France
0R3U.IL,Hella KGaA Hueck & Co,Consumer Cyclical,Auto Parts,Germany
QJQ.F,ISS A/S,N/A,N/A,N/A
2NN.SG,NN Group NV,N/A,N/A,N/A
0QVU.IL,IMCD NV,Basic Materials,Specialty Chemicals,Netherlands
ESG1N.AS,Euronext,N/A,N/A,N/A
UBSG.SW,UBS Group,Financial Services,Banks - Diversified,Switzerland
AENA.MC,Aena,Industrials,Airports & Air Services,Spain
AUTO.L,Auto Trader Group Plc,Communication Services,Internet Content & Information,United Kingdom
EVO.ST,Evolution AB,Consumer Cyclical,Gambling,Sweden
B,B&M European Value Retail SA,Basic Materials,Gold,Canada
CMBN.SW,Cembra Money Bank AG,Financial Services,Banks - Regional,Switzerland
STMN.SW,Straumann Holding AG,Healthcare,Medical Instruments & Supplies,Switzerland
0QOA.IL,Temenos Group AG,Technology,Software - Application,Switzerland
472.F,Cellnex Telecom,Real Estate,Real Estate Services,Spain
WLN.PA,Worldline SA,Technology,Software - Infrastructure,France
WAF.DE,Siltronic AG,Technology,Semiconductors,Germany
INW.MI,Inwit,Real Estate,Real Estate Services,Italy
PUM.DE,Puma SE,Consumer Cyclical,Footwear & Accessories,Germany
0RB8.IL,Scout24 AG,Real Estate,Real Estate Services,Germany
2FE.MU,Ferrari NV,N/A,N/A,N/A
7PI.F,Poste Italiane,Industrials,Conglomerates,Italy
ABN.AS,ABN AMRO,Financial Services,Banks - Diversified,Netherlands
AMEA.DE,Amundi,N/A,N/A,N/A
ADJ.DE,Adler,Real Estate,Real Estate Services,Luxembourg
GYC.BE,Grand City,N/A,N/A,N/A
VNA.DE,Vonovia,Real Estate,Real Estate Services,Germany
1COV.DE,Covestro,Basic Materials,Specialty Chemicals,Germany
AT1.DE,Aroundtown,Real Estate,Real Estate Services,Luxembourg
VACN.SW,VAT Group,Industrials,Specialty Industrial Machinery,Switzerland
G14.DE,Signify,Industrials,Electrical Equipment & Parts,Netherlands
ASRNL.AS,ASR Nederland,Financial Services,Insurance - Diversified,Netherlands
GIVN.SW,Givaudan,Basic Materials,Specialty Chemicals,Switzerland
1UN.MI,Uniper SE,Utilities,Utilities - Independent Power Producers,Germany
ULVR.L,Unilever,Consumer Defensive,Household & Personal Products,United Kingdom
2CVU.F,ConvaTec Group,Healthcare,Medical Instruments & Supplies,United Kingdom
IG.MI,Italgas,Utilities,Utilities - Regulated Gas,Italy
5Y2.F,Dino Polska,Consumer Defensive,Grocery Stores,Poland
DHER.DE,Delivery Hero,Consumer Cyclical,Internet Retail,Germany
HFG.DE,HelloFresh,Consumer Cyclical,Restaurants,Germany
SHL.DE,Siemens Healthineers,Healthcare,Medical Devices,Germany
ADYEN.AS,Adyen,Technology,Software - Infrastructure,Netherlands
KOJAMO.HE,Kojamo,Real Estate,Real Estate Services,Finland
0YSV.L,Epiroc A,,,Sweden
0P0001A3GS.L,Quilter,N/A,N/A,N/A
SIGN.SW,SIG Group,Consumer Cyclical,Packaging & Containers,Switzerland
