Ticker,Name,Sector,Industry,Country
TATE.L,Tate & Lyle,Consumer Defensive,Packaged Foods,United Kingdom
PSN.L,Persimmon,Consumer Cyclical,Residential Construction,United Kingdom
FLN.F,Admiral Group,Financial Services,Insurance - Property & Casualty,United Kingdom
UU.L,United Utilities,Utilities,Utilities - Regulated Water,United Kingdom
ULVR.L,Unilever,Consumer Defensive,Household & Personal Products,United Kingdom
CRHG.L,CRH,N/A,N/A,N/A
588030.SS,SSE,N/A,N/A,N/A
STAN.L,Standard Chartered,Financial Services,Banks - Diversified,United Kingdom
BLND.L,British Land Company,Real Estate,REIT - Diversified,United Kingdom
FIS,Informa,Technology,Information Technology Services,United States
WEIR.L,Weir Group,Industrials,Specialty Industrial Machinery,United Kingdom
0P0001488Z.L,Ashmore,N/A,N/A,N/A
SVT.L,Severn Trent,Utilities,Utilities - Regulated Water,United Kingdom
LFPB.F,Travis Perkins,Industrials,Industrial Distribution,United Kingdom
STJ.L,St. James’s Place,Financial Services,Asset Management,United Kingdom
SMIN.L,Smiths Group,Industrials,Specialty Industrial Machinery,United Kingdom
CBG.L,Close Brothers,Financial Services,Banks - Regional,United Kingdom
IGV0.F,IG Group,Utilities,Utilities - Diversified,Lithuania
MRO.L,Melrose Industries,Industrials,Specialty Industrial Machinery,United Kingdom
SWBI,Smith & Nephew,Industrials,Aerospace & Defense,United States
IT1.F,Intertek,Industrials,Specialty Business Services,United Kingdom
KYC0.F,Mondi,Basic Materials,Paper & Paper Products,United Kingdom
ROR.L,Rotork,Industrials,Specialty Industrial Machinery,United Kingdom
SBRY.L,J Sainsbury,Consumer Defensive,Grocery Stores,United Kingdom
NG.L,National Grid,Utilities,Utilities - Regulated Electric,United Kingdom
IMI.L,IMI PLC,Industrials,Specialty Industrial Machinery,United Kingdom
BT-A.L,BT Group,Communication Services,Telecom Services,United Kingdom
INCH.L,Inchcape,Consumer Cyclical,Auto & Truck Dealerships,United Kingdom
SGROL.XC,Segro,Real Estate,REIT - Industrial,United Kingdom
ATRL.XC,Schroders,Financial Services,Asset Management,United Kingdom
ITV.L,ITV,Communication Services,Broadcasting,United Kingdom
RTO,Rentokil,Industrials,Specialty Business Services,United Kingdom
COMP,Compass,Real Estate,Real Estate Services,United States
HASL.XC,Hays,Industrials,Staffing & Employment Services,United Kingdom
ICG.L,ICG PLC,Financial Services,Asset Management,United Kingdom
CCL.L,Carnival,Consumer Cyclical,Travel Services,United States
HSX.L,Hiscox,Financial Services,Insurance - Property & Casualty,Bermuda
LSU2.F,Land Securities,Real Estate,REIT - Diversified,United Kingdom
HLMA.L,Halma,Industrials,Conglomerates,United Kingdom
RMV.L,Rightmove,Communication Services,Internet Content & Information,United Kingdom
TW.L,Taylor Wimpey,Consumer Cyclical,Residential Construction,United Kingdom
1LNB.HA,Spirax-Sarco Engineering,N/A,N/A,N/A
AHT.L,Ashtead Group,Industrials,Rental & Leasing Services,United Kingdom
UPS,Unite,Industrials,Integrated Freight & Logistics,United States
DLN.L,Derwent,Real Estate,REIT - Office,United Kingdom
FLTR.L,Flutter Entertainment,Consumer Cyclical,Gambling,United States
BEZ.L,Beazley,Financial Services,Insurance - Specialty,United Kingdom
ASML.AS,ASM,Technology,Semiconductor Equipment & Materials,Netherlands
RAND.AS,Randstad,Industrials,Staffing & Employment Services,Netherlands
CSUA.MU,Corbion,N/A,N/A,N/A
WKL.AS,Wolters Kluwer,Industrials,Specialty Business Services,Netherlands
SBMO.AS,SBM Offshore,Energy,Oil & Gas Equipment & Services,Netherlands
AKZA.AS,Akzo Nobel,Basic Materials,Specialty Chemicals,Netherlands
VPK.AS,Vopak,Energy,Oil & Gas Midstream,Netherlands
AD.AS,Ahold Delhaize,Consumer Defensive,Grocery Stores,Netherlands
MT.AS,ArcelorMittal,Basic Materials,Steel,Luxembourg
KPNA.XC,Koninklijke KPN,Communication Services,Telecom Services,Netherlands
ASML.AS,ASML Holding,Technology,Semiconductor Equipment & Materials,Netherlands
AACA.SG,Aalberts Industries,N/A,N/A,N/A
PRY.MI,Prysmian,Industrials,Electrical Equipment & Parts,Italy
ISP.MI,Intesa Sanpaolo,Financial Services,Banks - Regional,Italy
HO.PA,Thales,Industrials,Aerospace & Defense,France
GFC.PA,Gecina,Real Estate,REIT - Office,France
UCG.MI,UniCredit,Financial Services,Banks - Regional,Italy
DSY.PA,Dassault Systemes,Technology,Software - Application,France
1FRVIA.MI,Forvia,Consumer Cyclical,Auto Parts,France
CO.PA,Casino Guichard,Consumer Defensive,Grocery Stores,France
LDO.MI,Leonardo,Industrials,Aerospace & Defense,Italy
ENEL.MI,Enel,Utilities,Utilities - Diversified,Italy
ERF.PA,Eurofins Scientific,Healthcare,Diagnostics & Research,Luxembourg
TS,Tenaris,Energy,Oil & Gas Equipment & Services,Luxembourg
RXL.PA,Rexel,Technology,Electronics & Computer Distribution,France
RMC.F,Remy Cointreau,Consumer Defensive,Beverages - Wineries & Distilleries,France
E,Eni SpA,Energy,Oil & Gas Integrated,Italy
SESG.PA,SES,Communication Services,Broadcasting,Luxembourg
RF.PA,Eurazeo,Financial Services,Asset Management,France
PUB.PA,Publicis Groupe,Communication Services,Advertising Agencies,France
AKEP.XC,Arkema,Basic Materials,Specialty Chemicals,France
SW.PA,Sodexo,Industrials,Specialty Business Services,France
UBI.PA,Ubisoft,Communication Services,Electronic Gaming & Multimedia,France
HMIA.SG,Hermes International,Consumer Cyclical,Luxury Goods,France
SOI.PA,Soitec,Technology,Semiconductor Equipment & Materials,France
SAF.PA,Safran,Industrials,Aerospace & Defense,France
MF.PA,Wendel,Financial Services,Asset Management,France
EFGSY,Eiffage,Industrials,Engineering & Construction,France
SCOR,SCOR,Communication Services,Internet Content & Information,United States
A2A.MI,A2A,Utilities,Utilities - Diversified,Italy
56S1.DE,Sartorius Stedim,Healthcare,Medical Instruments & Supplies,France
0IS8.L,Covivio,,,France
ETL.PA,Eutelsat,Technology,Communication Equipment,France
ATO.PA,Atos,Technology,Information Technology Services,France
0LBM.IL,Terna,Utilities,Utilities - Regulated Electric,Italy
FR.PA,Valeo,Consumer Cyclical,Auto Parts,France
ME9.HA,Mediobanca,N/A,N/A,N/A
BAMI.MI,Banco Bpm,Financial Services,Banks - Regional,Italy
SPM.MI,Saipem,Energy,Oil & Gas Equipment & Services,Italy
ATE.PA,Alten,Technology,Information Technology Services,France
LR.PA,Legrand,Industrials,Electrical Equipment & Parts,France
LI.PA,Klepierre,Real Estate,REIT - Retail,France
IPSEF,Ipsen,Healthcare,Drug Manufacturers - Specialty & Generic,France
EMEIS.PA,Emeis,Healthcare,Medical Care Facilities,France
DCS.MU,JC Decaux,N/A,N/A,N/A
BIM.PA,Biomerieux,Healthcare,Diagnostics & Research,France
TEP.PA,Teleperformance,Industrials,Specialty Business Services,France
SOP.PA,Sopra Steria,Technology,Information Technology Services,France
RUI.PA,Rubis,Energy,Oil & Gas Refining & Marketing,France
SPLW.XD,Santander Bank Polska,N/A,N/A,N/A
P9O.MU,PKO Bank Polski,N/A,N/A,N/A
WRTBF,Wartsila,Industrials,Specialty Industrial Machinery,Finland
BP1.SG,Bank Polska Kasa Opieki,N/A,N/A,N/A
KGH.WA,KGHM Polska Miedz,Basic Materials,Copper,Poland
PKY1.SG,ORLEN SA,N/A,N/A,N/A
BVI.PA,Bureau Veritas,Industrials,Consulting Services,France
NDA-FI.HE,Nordea Bank,Financial Services,Banks - Regional,Finland
HSC2.SG,Inmobiliaria Colonial,N/A,N/A,N/A
3IC.F,ICADE,Real Estate,REIT - Diversified,France
EOAN.DE,E.ON SE,Utilities,Utilities - Diversified,Germany
FRES.L,Fresnillo,Basic Materials,Other Precious Metals & Mining,Mexico
GETP.XC,Getlink,Industrials,Railroads,France
BUD,Anheuser Busch Inbev,Consumer Defensive,Beverages - Brewers,Belgium
EXPN.L,Experian,Industrials,Consulting Services,Ireland
BKG.L,Berkeley,Consumer Cyclical,Residential Construction,United Kingdom
